Prvdr_CCN,Prvdr_Org_Name,Prvdr_City,Prvdr_St,Prvdr_State_FIPS,Prvdr_Zip5,Prvdr_State_Abrvtn,Prvdr_RUCA,Prvdr_RUCA_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt,zip_lat,zip_lon
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",13,727352.46154,211403.92308,194140.46154,42.86351,-78.82739
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",23,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC O,28,153053.89286,54667.535714,52219.892857,42.86351,-78.82739
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",24,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MC,15,128315.86667,47551.2,34148.466667,42.86351,-78.82739
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",25,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,43,158525.2093,46700.186047,39816.418605,42.86351,-78.82739
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",26,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,21,93794.952381,27646.238095,24128.714286,42.86351,-78.82739
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",27,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,18,71927.777778,27813.555556,17863.611111,42.86351,-78.82739
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",35,CAROTID ARTERY STENT PROCEDURES WITH CC,18,69869.444444,19512.222222,17815.555556,42.86351,-78.82739
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",36,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,17,56120.294118,17017.352941,13988.235294,42.86351,-78.82739
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",40,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC",18,77058.833333,33634.555556,29244.555556,42.86351,-78.82739
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",41,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUR",25,55211.32,20984.04,18055.84,42.86351,-78.82739
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",42,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC",12,45214.333333,16479.416667,13466.166667,42.86351,-78.82739
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",54,NERVOUS SYSTEM NEOPLASMS WITH MCC,17,43294.058824,12349.411765,10367.941176,42.86351,-78.82739
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",56,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC,12,64636.833333,25345.916667,20387.833333,42.86351,-78.82739
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",57,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,29,28691.655172,11341.517241,9258.0344828,42.86351,-78.82739
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",61,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",12,100074.5,24331.25,22561.5,42.86351,-78.82739
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",62,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",16,60474.5625,17560.125,13589.8125,42.86351,-78.82739
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,80,51526.325,18562.325,16332.975,42.86351,-78.82739
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,140,30294.492857,9782.6214286,7398.6285714,42.86351,-78.82739
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,30,21498.3,7389.6666667,4543.4333333,42.86351,-78.82739
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",68,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC,16,29774.6875,8393.8125,6592.8125,42.86351,-78.82739
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",69,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,30,23206.233333,7575.5666667,5674.3333333,42.86351,-78.82739
